season,Week,Away Team,Home Team,Gel,Hector,Emilio,Sonny,ganador
2012,8,Sd,Cl,Cl,Sd,Sd,Sd,Cl
2012,8,No,Dn,Dn,Dn,Dn,No,Dn
2012,8,Se,Dt,Dt,Dt,Se,Dt,Dt
2012,8,Jk,Gb,Gb,Gb,Gb,Gb,Gb
2012,8,Gi,Da,Da,Gi,Gi,Da,Gi
2012,8,In,Tn,Tn,In,Tn,Tn,In
2012,8,Mi,Jt,Jt,Jt,Jt,Jt,Mi
2012,8,Ne,Sl,Sl,Ne,Ne,Ne,Ne
2012,8,Oa,Kc,Kc,Kc,Oa,Kc,Oa
2012,8,Wa,Pt,Pt,Wa,Pt,Pt,Pt
2012,8,Sf,Az,Az,Sf,Sf,Sf,Sf
2012,8,Tb,Mn,Mn,Mn,Tb,Mn,Tb
2012,9,Da,At,At,At,At,Da,At
2012,9,Ba,Cl,Cl,Ba,Ba,Ba,Ba
2012,9,Ca,Wa,Wa,Wa,Wa,Wa,Ca
2012,9,Ch,Tn,Tn,Ch,Ch,Ch,Ch
2012,9,Dn,Cn,Cn,Dn,Dn,Cn,Dn
2012,9,Dt,Jk,Jk,Dt,Dt,Dt,Dt
2012,9,Az,Gb,Gb,Gb,Gb,Gb,Gb
2012,9,Bu,Ho,Ho,Ho,Ho,Ho,Ho
2012,9,Mi,In,In,In,Mi,In,In
2012,9,Ph,No,No,No,No,No,No
2012,9,Pt,Gi,Gi,Gi,Pt,Gi,Pt
2012,9,Kc,Sd,Sd,Sd,Sd,Sd,Sd
2012,9,Mn,Se,Se,Mn,Se,Se,Se
2012,9,Tb,Oa,Oa,Oa,Oa,Oa,Tb
2012,10,Oa,Ba,Ba,Ba,Ba,Ba,Ba
2012,10,Gi,Cn,Cn,Gi,Gi,Gi,Cn
2012,10,Da,Ph,Ph,Ph,Ph,Ph,Da
2012,10,Dn,Ca,Ca,Dn,Ca,Dn,Dn
2012,10,Ho,Ch,Ch,Ho,Ho,Ho,Ho
2012,10,In,Jk,Jk,In,Jk,In,In
2012,10,Dt,Mn,Mn,Mn,Dt,Mn,Mn
2012,10,Bu,Ne,Ne,Ne,Ne,Ne,Ne
2012,10,At,No,No,At,At,At,No
