season,Waeek,AWaay Team,Home Team,Gel,Hector,Emilio,Sonny,ganador
2008,12,Ca,At,At,At,Ca,Ca,At
2008,12,Ph,Ba,Ba,Ph,Ba,Ba,Ba
2008,12,Bu,Kc,Bu,Bu,Bu,Bu,Bu
2008,12,Ch,Sl,Ch,Ch,Ch,Ch,Ch
2008,12,Sf,Da,Da,Da,Da,Da,Da
2008,12,Gi,Az,Gi,Gi,Gi,Gi,Gi
2008,12,Ho,Cl,Cl,Cl,Cl,Cl,Ho
2008,12,In,Sd,In,In,In,In,In
2008,12,Jt,Tn,Tn,Tn,Tn,Tn,Jt
2008,12,Mn,Jk,Mn,Jk,Jk,Jk,Mn
2008,12,Ne,Mi,Ne,Mi,Ne,Ne,Ne
2008,12,Gb,No,No,No,Gb,Gb,No
2008,12,Oa,Dn,Dn,Dn,Dn,Dn,Oa
2008,12,Cn,Pt,Pt,Pt,Pt,Pt,Pt
2008,12,Tb,Dt,Tb,Tb,Dt,Tb,Tb
2008,12,Wa,Se,Wa,Wa,Wa,Wa,Wa
2008,13,At,Sd,At,Sd,Sd,Sd,At
2008,13,Ba,Cn,Ba,Ba,Ba,Ba,Ba
2008,13,Ca,Gb,Ca,Gb,Gb,Gb,Ca
2008,13,Se,Da,Da,Da,Da,Da,Da
2008,13,Dn,Jt,Jt,Dn,Dn,Jt,Dn
2008,13,Gi,Wa,Gi,Gi,Gi,Gi,Gi
2008,13,Jk,Ho,Ho,Ho,Ho,Ho,Ho
2008,13,In,Cl,In,In,In,In,In
2008,13,Kc,Oa,Oa,Kc,Kc,Oa,Kc
2008,13,Mi,Sl,Mi,Mi,Sl,Mi,Mi
2008,13,Ch,Mn,Mn,Mn,Ch,Mn,Mn
2008,13,Az,Ph,Ph,Ph,Ph,Ph,Ph
2008,13,Pt,Ne,Pt,Ne,Pt,Ne,Pt
2008,13,Sf,Bu,Bu,Bu,Bu,Bu,Sf
2008,13,No,Tb,Tb,Tb,No,Tb,Tb
2008,13,Tn,Dt,Tn,Tn,Tn,Tn,Tn
2008,14,Sl,Az,Az,Az,Az,Az,Az
2008,14,Wa,Ba,Ba,Wa,Ba,Ba,Ba
2008,14,Tb,Ca,Ca,Tb,Ca,Ca,Ca
2008,14,Jk,Ch,Ch,Jk,Ch,Ch,Ch
2008,14,Kc,Dn,Dn,Dn,Dn,Dn,Dn
2008,14,Ho,Gb,Gb,Gb,Gb,Gb,Ho
2008,14,Cn,In,In,In,In,In,In
2008,14,Mi,Bu,Mi,Mi,Bu,Mi,Mi
2008,14,Mn,Dt,Mn,Mn,Dt,Mn,Mn
2008,14,Ne,Se,Ne,Ne,Se,Ne,Ne
2008,14,At,No,No,At,No,No,No
2008,14,Ph,Gi,Gi,Gi,Gi,Gi,Ph
2008,14,Da,Pt,Pt,Da,Pt,Pt,Pt
2008,14,Oa,Sd,Sd,Sd,Sd,Sd,Sd
2008,14,Jt,Sf,Jt,Jt,Sf,Jt,Sf
2008,14,Cl,Tn,Tn,Tn,Tn,Tn,Tn
2008,15,Tb,At,Tb,Tb,At,At,At
2008,15,Dn,Ca,Ca,Dn,Dn,Ca,Ca
2008,15,No,Ch,Ch,Ch,Ch,Ch,Ch
2008,15,Wa,Cn,Wa,Wa,Wa,Wa,Cn
2008,15,Gi,Da,Gi,Gi,Gi,Gi,Da
2008,15,Tn,Ho,Tn,Tn,Tn,Tn,Ho
2008,15,Dt,In,In,In,In,In,In
2008,15,Gb,Jk,Gb,Jk,Gb,Gb,Jk
2008,15,Bu,Jt,Bu,Jt,Bu,Jt,Jt
2008,15,Sf,Mi,Mi,Mi,Mi,Mi,Mi
2008,15,Mn,Az,Mn,Mn,Az,Az,Mn
2008,15,Ne,Oa,Ne,Ne,Ne,Ne,Ne
2008,15,Cl,Ph,Ph,Ph,Ph,Ph,Ph
2008,15,Pt,Ba,Ba,Ba,Pt,Pt,Pt
2008,15,Sd,Kc,Sd,Sd,Sd,Sd,Sd
2008,15,Se,Sl,Sl,Se,Sl,Sl,Se
2008,16,At,Mn,Mn,At,At,Mn,At
2008,16,Ba,Da,Ba,Da,Da,Da,Ba
2008,16,Bu,Dn,Dn,Dn,Bu,Dn,Bu
2008,16,Gb,Ch,Ch,Gb,Gb,Ch,Ch
