season,Week,AWaay Team,Home Team,Gel,Hector,Emilio,Sonny,ganador
2005,8,Tb,Sf,Tb,Tb,Tb,Tb,Sf
2005,8,Jk,Sl,Jk,Sl,Jk,Jk,Sl
2005,9,At,Mi,At,At,Mi,At,At
2005,9,Ca,Tb,Tb,Tb,Tb,Tb,Ca
2005,9,Ch,No,Ch,No,Ch,Ch,Ch
2005,9,Tn,Cl,Cl,Tn,Cl,Cl,Cl
2005,9,Cn,Ba,Cn,Cn,Cn,Cn,Cn
2005,9,Gi,Sf,Gi,Gi,Gi,Gi,Gi
2005,9,In,Ne,Ne,Ne,In,In,In
2005,9,Ho,Jk,Jk,Ho,Jk,Jk,Jk
2005,9,Oa,Kc,Kc,Kc,Kc,Kc,Kc
2005,9,Dt,Mn,Dt,Mn,Mn,Mn,Mn
2005,9,Pt,Gb,Pt,Pt,Gb,Pt,Pt
2005,9,Sd,Jt,Jt,Jt,Jt,Sd,Sd
2005,9,Se,Az,Se,Se,Se,Se,Se
2005,9,Ph,Wa,Ph,Ph,Ph,Wa,Wa
2005,10,Kc,Bu,Kc,Kc,Kc,Kc,Bu
2005,10,Jt,Ca,Ca,Jt,Ca,Ca,Ca
2005,10,Sf,Ch,Ch,Ch,Ch,Ch,Ch
2005,10,Da,Ph,Ph,Ph,Ph,Da,Da
2005,10,Dn,Oa,Dn,Dn,Dn,Dn,Dn
2005,10,Az,Dt,Dt,Dt,Dt,Dt,Dt
2005,10,Gb,At,At,At,Gb,At,Gb
2005,10,Ho,In,In,In,In,In,In
2005,10,Ba,Jk,Jk,Ba,Ba,Jk,Jk
2005,10,Mn,Gi,Gi,Gi,Gi,Gi,Mn
2005,10,Ne,Mi,Ne,Ne,Ne,Ne,Ne
2005,10,Cl,Pt,Pt,Pt,Pt,Pt,Pt
2005,10,Sl,Se,Se,Se,Se,Se,Se
2005,10,Wa,Tb,Tb,Tb,Tb,Wa,Tb
2005,11,Az,Sl,Sl,Sl,Sl,Sl,Az
2005,11,Pt,Ba,Pt,Pt,Ba,Pt,Ba
2005,11,Ca,Ch,Ch,Ch,Ch,Ca,Ch
2005,11,Mi,Cl,Cl,Cl,Mi,Cl,Cl
2005,11,Dt,Da,Da,Da,Da,Da,Da
2005,11,Jt,Dn,Dn,Dn,Dn,Dn,Dn
2005,11,Ph,Gi,Gi,Gi,Ph,Gi,Gi
2005,11,In,Cn,In,In,In,Cn,In
2005,11,Jk,Tn,Tn,Tn,Tn,Jk,Jk
2005,11,Kc,Ho,Kc,Kc,Kc,Kc,Kc
2005,11,Mn,Gb,Mn,Mn,Gb,Gb,Mn
2005,11,No,Ne,Ne,Ne,No,Ne,Ne
2005,11,Oa,Wa,Oa,Oa,Wa,Wa,Oa
2005,11,Bu,Sd,Sd,Sd,Bu,Sd,Sd
2005,11,Se,Sf,Se,Se,Se,Se,Se
2005,11,Tb,At,At,Tb,Tb,At,Tb
2005,12,At,Dt,At,At,At,At,At
2005,12,Ca,Bu,Ca,Ca,Bu,Ca,Ca
2005,12,Ch,Tb,Tb,Tb,Tb,Tb,Ch
2005,12,Ba,Cn,Cn,Ba,Ba,Cn,Cn
2005,12,Dn,Da,Dn,Dn,Dn,Dn,Dn
2005,12,Pt,In,In,In,In,In,In
2005,12,Jk,Az,Jk,Az,Jk,Az,Jk
2005,12,Ne,Kc,Kc,Ne,Kc,Kc,Kc
2005,12,Mi,Oa,Oa,Oa,Mi,Oa,Mi
2005,12,Cl,Mn,Mn,Cl,Cl,Cl,Mn
2005,12,No,Jt,Jt,Jt,Jt,Jt,No
2005,12,Gb,Ph,Ph,Ph,Gb,Ph,Ph
2005,12,Sd,Wa,Sd,Wa,Wa,Sd,Sd
2005,12,Gi,Se,Se,Se,Se,Se,Se
2005,12,Sl,Ho,Sl,Sl,Sl,Sl,Sl
2005,12,Sf,Tn,Tn,Tn,Tn,Tn,Tn
2005,13,Az,Sf,Az,Sf,Az,Az,Az
2005,13,Ho,Ba,Ba,Ho,Ba,Ba,Ba
2005,13,At,Ca,At,Ca,At,At,Ca
2005,13,Gb,Ch,Ch,Ch,Gb,Ch,Ch
2005,13,Cn,Pt,Pt,Cn,Pt,Pt,Cn
2005,13,Da,Gi,Da,Da,Gi,Da,Gi
2005,13,Tn,In,In,In,In,In,In
2005,13,Jk,Cl,Cl,Jk,Jk,Cl,Jk
2005,13,Dn,Kc,Dn,Dn,Dn,Dn,Kc
2005,13,Bu,Mi,Bu,Mi,Bu,Bu,Mi
2005,13,Mn,Dt,Mn,Dt,Mn,Mn,Mn
2005,13,Jt,Ne,Ne,Ne,Jt,Ne,Ne
2005,13,Oa,Sd,Sd,Sd,Oa,Sd,Sd
2005,13,Se,Ph,Se,Se,Se,Se,Se
2005,13,Tb,No,Tb,Tb,Tb,Tb,Tb
2005,13,Wa,Sl,Sl,Sl,Wa,Sl,Wa
2005,14,No,At,At,No,At,At,At
2005,14,Cl,Cn,Cl,Cn,Cl,Cl,Cn
2005,14,Kc,Da,Da,Kc,Kc,Da,Da
2005,14,Ba,Dn,Dn,Dn,Dn,Dn,Dn
2005,14,Dt,Gb,Dt,Dt,Gb,Dt,Gb
2005,14,Gi,Ph,Ph,Gi,Gi,Ph,Gi
2005,14,In,Jk,In,In,In,In,In
2005,14,Oa,Jt,Jt,Oa,Oa,Jt,Jt
2005,14,Mi,Sd,Sd,Mi,Sd,Sd,Mi
2005,14,Sl,Mn,Mn,Mn,Mn,Mn,Mn
2005,14,Ne,Bu,Ne,Ne,Bu,Ne,Ne
2005,14,Ch,Pt,Pt,Pt,Ch,Pt,Pt
2005,14,Sf,Se,Se,Se,Se,Se,Se
2005,14,Tb,Ca,Ca,Tb,Tb,Ca,Tb
2005,14,Ho,Tn,Tn,Ho,Tn,Tn,Tn
2005,14,Wa,Az,Az,Wa,Wa,Az,Wa
2005,15,Gb,Ba,Ba,Gb,Gb,Ba,Ba
2005,15,Ca,No,Ca,Ca,Ca,Ca,Ca
2005,15,At,Ch,Ch,Ch,Ch,Ch,Ch
2005,15,Cl,Oa,Oa,Oa,Oa,Oa,Cl
2005,15,Cn,Dt,Dt,Cn,Cn,Dt,Cn
2005,15,Dn,Bu,Dn,Dn,Dn,Dn,Dn
2005,15,Kc,Gi,Kc,Kc,Gi,Kc,Gi
2005,15,Az,Ho,Ho,Ho,Ho,Ho,Ho
2005,15,Sf,Jk,Jk,Jk,Sf,Jk,Jk
2005,15,Jt,Mi,Jt,Mi,Jt,Jt,Mi
2005,15,Tb,Ne,Ne,Ne,Ne,Ne,Ne
2005,15,Ph,Sl,Sl,Sl,Sl,Sl,Ph
2005,15,Pt,Mn,Pt,Pt,Pt,Pt,Pt
2005,15,Sd,In,In,In,Sd,In,Sd
2005,15,Se,Tn,Se,Se,Se,Se,Se
2005,15,Da,Wa,Wa,Wa,Wa,Wa,Wa
2005,16,Ph,Az,Ph,Az,Ph,Ph,Az
2005,16,Mn,Ba,Ba,Mn,Mn,Ba,Ba
2005,16,Bu,Cn,Cn,Cn,Bu,Cn,Bu
2005,16,Ch,Gb,Ch,Ch,Gb,Ch,Ch
2005,16,Da,Ca,Ca,Ca,Ca,Ca,Da
2005,16,Oa,Dn,Dn,Dn,Dn,Dn,Dn
2005,16,Dt,No,No,Dt,No,No,Dt
2005,16,Jk,Ho,Ho,Jk,Jk,Jk,Jk
2005,16,Sd,Kc,Kc,Kc,Sd,Sd,Kc
2005,16,Tn,Mi,Tn,Mi,Mi,Mi,Mi
2005,16,Ne,Jt,Ne,Ne,Ne,Ne,Ne
2005,16,Pt,Cl,Pt,Pt,Pt,Pt,Pt
2005,16,In,Se,Se,Se,In,Se,Se
2005,16,Sf,Sl,Sl,Sl,Sl,Sl,Sf
2005,16,At,Tb,Tb,Tb,Tb,Tb,Tb
2005,16,Gi,Wa,Wa,Wa,Gi,Gi,Wa
2005,17,Ca,At,Ca,Ca,Ca,Ca,Ca
2005,17,Ba,Cl,Ba,Ba,Cl,Ba,Cl
2005,17,Dn,Sd,Dn,Sd,Dn,Dn,Dn
2005,17,Se,Gb,Se,Se,Gb,Gb,Gb
2005,17,Gi,Oa,Gi,Gi,Gi,Gi,Gi
2005,17,Az,In,In,In,In,In,In
2005,17,Tn,Jk,Tn,Jk,Tn,Jk,Jk
2005,17,Bu,Jt,Jt,Jt,Jt,Jt,Jt
2005,17,Cn,Kc,Cn,Cn,Kc,Kc,Kc
2005,17,Mi,Ne,Ne,Ne,Ne,Ne,Mi
2005,17,Ch,Mn,Ch,Ch,Mn,Ch,Mn
2005,17,Dt,Pt,Pt,Pt,Pt,Pt,Pt
2005,17,Ho,Sf,Ho,Sf,Ho,Sf,Sf
2005,17,Sl,Da,Sl,Sl,Da,Da,Sl
2005,17,No,Tb,Tb,Tb,Tb,Tb,Tb
2005,17,Wa,Ph,Wa,Wa,Wa,Wa,Wa
2005,18,Ca,Gi,Gi,Ca,Ca,Gi,Ca
2005,18,Ca,Ch,Ca,Ca,Ca,Ca,Ca
2005,18,Ne,Dn,Ne,Dn,Dn,Ne,Dn
2005,18,Jk,Ne,Ne,Ne,Ne,Ne,Ne
2005,18,Pt,Cn,Pt,Cn,Pt,Pt,Pt
2005,18,Pt,In,Pt,In,Pt,In,Pt
2005,18,Pt,Dn,Pt,Dn,Pt,Dn,Pt
2005,18,Pt,Se,Se,Se,Pt,Se,Pt
2005,18,Wa,Se,Se,Se,Se,Se,Se
2005,18,Ca,Se,Se,Se,Se,Se,Se
2005,18,Wa,Tb,Tb,Tb,Tb,Wa,Wa
