season,Week,AWaay Team,Home Team,Gel,Hector,Emilio,Sonny,ganador
2011,6,Jk,Pt,Pt,Pt,Pt,Pt,Pt
2011,6,Sf,Dt,Dt,Dt,Dt,Dt,Sf
2011,6,No,Tb,No,No,No,No,Tb
2011,7,At,Dt,Dt,Dt,Dt,Dt,At
2011,7,Wa,Ca,Wa,Ca,Ca,Wa,Ca
2011,7,Ch,Tb,Tb,Tb,Tb,Tb,Ch
2011,7,Se,Cl,Cl,Cl,Cl,Cl,Cl
2011,7,Sl,Da,Da,Da,Da,Da,Da
2011,7,Dn,Mi,Mi,Dn,Mi,Dn,Dn
2011,7,Gb,Mn,Gb,Gb,Gb,Gb,Gb
2011,7,Ho,Tn,Tn,Tn,Ho,Tn,Ho
2011,7,Ba,Jk,Ba,Ba,Ba,Ba,Jk
2011,7,Sd,Jt,Sd,Jt,Jt,Sd,Jt
2011,7,Kc,Oa,Oa,Oa,Oa,Oa,Kc
2011,7,In,No,No,No,No,No,No
2011,7,Pt,Az,Pt,Pt,Pt,Pt,Pt
2011,8,Az,Ba,Ba,Ba,Ba,Ba,Ba
2011,8,Wa,Bu,Bu,Bu,Bu,Bu,Bu
2011,8,Cn,Se,Cn,Cn,Cn,Cn,Cn
2011,8,Dt,Dn,Dt,Dt,Dt,Dt,Dt
2011,8,Mi,Gi,Gi,Gi,Gi,Gi,Gi
2011,8,Jk,Ho,Ho,Ho,Ho,Ho,Ho
2011,8,Sd,Kc,Sd,Sd,Sd,Sd,Kc
2011,8,Mn,Ca,Ca,Ca,Ca,Ca,Mn
2011,8,Da,Ph,Ph,Ph,Ph,Da,Ph
2011,8,Ne,Pt,Ne,Ne,Pt,Ne,Pt
2011,8,Cl,Sf,Sf,Sf,Sf,Sf,Sf
2011,8,No,Sl,No,No,No,No,Sl
2011,8,In,Tn,Tn,Tn,Tn,Tn,Tn
2011,9,At,In,In,At,At,At,At
2011,9,Sl,Az,Sl,Sl,Az,Az,Az
2011,9,Ba,Pt,Pt,Pt,Pt,Pt,Ba
2011,9,Ch,Ph,Ch,Ph,Ph,Ph,Ch
2011,9,Cn,Tn,Tn,Tn,Tn,Tn,Cn
2011,9,Se,Da,Da,Da,Da,Da,Da
2011,9,Dn,Oa,Oa,Oa,Oa,Oa,Dn
2011,9,Gb,Sd,Sd,Gb,Gb,Gb,Gb
2011,9,Gi,Ne,Ne,Ne,Ne,Ne,Gi
2011,9,Cl,Ho,Ho,Ho,Ho,Ho,Ho
2011,9,Jt,Bu,Bu,Bu,Bu,Bu,Jt
2011,9,Mi,Kc,Kc,Kc,Kc,Kc,Mi
2011,9,Tb,No,No,No,Tb,No,No
2011,9,Sf,Wa,Wa,Sf,Sf,Sf,Sf
2011,10,Az,Ph,Ph,Ph,Ph,Ph,Az
2011,10,Dt,Ch,Ch,Ch,Ch,Ch,Ch
2011,10,Bu,Da,Da,Da,Bu,Da,Da
2011,10,Dn,Kc,Kc,Dn,Kc,Kc,Dn
2011,10,Mn,Gb,Gb,Gb,Gb,Gb,Gb
